teks,clean1,clean2,clean3,sentimen_lexicon,label_lexicon,cleaned
@ plindungi usia sdh vaksin 2x agak kecewa system pedulilindungi . vaksin 2 tidak input data sdh digunakan . vaksin manual sdh 28 . tidak serfikat 2 . mohon tanggapan pedulilindungi email tidak dibalas ., plindungi usia sdh vaksin  agak kecewa system pedulilindungi  vaksin  tidak input data sdh digunakan  vaksin manual sdh   tidak serfikat   mohon tanggapan pedulilindungi email tidak dibalas ,plindungi usia sdh vaksin kecewa system pedulilindungi vaksin input data sdh vaksin manual sdh serfikat mohon tanggapan pedulilindungi email dibalas,plindungi usia sdh vaksin kecewa system pedulilindungi vaksin input data sdh vaksin manual sdh serfikat mohon tanggap pedulilindungi email balas,3,1,plindungi usia sdh vaksin kecewa system pedulilindungi vaksin input data sdh vaksin manual sdh serfikat mohon tanggap pedulilindungi email balas
"@ kurawa berharap masyarakat sdh vaksin civid-19 maka diberikan kebebasan melakukan perjalanan test rapid antigen lain-lain , menjalakan prokes ketat", kurawa berharap masyarakat sdh vaksin  maka diberikan kebebasan melakukan perjalanan test rapid antigen lainlain  menjalakan prokes ketat,kurawa berharap masyarakat sdh vaksin kebebasan perjalanan test rapid antigen lainlain menjalakan prokes ketat,rawa harap masyarakat sdh vaksin bebas jalan test rapid antigen lainlain jala prokes ketat,3,1,rawa harap masyarakat sdh vaksin bebas jalan test rapid antigen lainlain jala prokes ketat
babinsa kalurahan banguntapan sertu ahmad suroto melaksanakan pendampingan pelaksanaan pemberian vaksin traveloka jec https : //t.co/czec8ceumk,babinsa kalurahan banguntapan sertu ahmad suroto melaksanakan pendampingan pelaksanaan pemberian vaksin traveloka jec https  ,babinsa kalurahan banguntapan sertu ahmad suroto melaksanakan pendampingan pelaksanaan pemberian vaksin traveloka jec https,babinsa kalurahan banguntapan sertu ahmad suroto laksana damping laksana beri vaksin traveloka jec https,3,1,babinsa kalurahan banguntapan sertu ahmad suroto laksana damping laksana beri vaksin traveloka jec https
yaallah bund lihat anabul2 udh lari2an hepy banget bund~ vaksin emg halangannya,yaallah bund lihat  udh  hepy banget bund vaksin emg halangannya,yaallah bund lihat udh hepy banget bund vaksin emg halangannya,yaallah bund lihat udh hepy banget bund vaksin emg halang,0,0,yaallah bund lihat udh hepy banget bund vaksin emg halang
@ amaliakimson @ jkjavmy 32 org 21.2 juta org menerima suntikan, amaliakimson  jkjavmy  org  juta org menerima suntikan,amaliakimson jkjavmy org juta org menerima suntikan,amaliakimson jkjavmy org juta org terima sunti,4,1,amaliakimson jkjavmy org juta org terima sunti
@ jwscldh @ blogdokter buktinya habis vaksin sakit meninggal vaksin.. bersangkutan ga jujur ga kasih dokternya riwayat sakit a b c d ., jwscldh  blogdokter buktinya habis vaksin sakit meninggal vaksin bersangkutan ga jujur ga kasih dokternya riwayat sakit a b c d ,jwscldh blogdokter buktinya habis vaksin sakit meninggal vaksin bersangkutan ga jujur ga kasih dokternya riwayat sakit a b c d,jwscldh blogdokter bukti habis vaksin sakit tinggal vaksin sangkut ga jujur ga kasih dokter riwayat sakit a b c d,-13,2,jwscldh blogdokter bukti habis vaksin sakit tinggal vaksin sangkut ga jujur ga kasih dokter riwayat sakit a b c d
", 2x vaksin ini.. https : //t.co/e56mf6k8my",  vaksin ini https  ,vaksin https,vaksin https,0,0,vaksin https
"@ blogdokter dok , jarum suntik bekas vaksin dikemanain ? ? kan masuk limbah medis .", blogdokter dok  jarum suntik bekas vaksin dikemanain   kan masuk limbah medis ,blogdokter dok jarum suntik bekas vaksin dikemanain masuk limbah medis,blogdokter dok jarum suntik bekas vaksin dikemanain masuk limbah medis,-6,2,blogdokter dok jarum suntik bekas vaksin dikemanain masuk limbah medis
@ niesyahalim1 @ kkmputrajaya tulaaaaa ... .skrg deh masuk phase 2 tidak frontliner kena vaksin..pengurusan vaksin nampaknya mmg gagal,   kkmputrajaya tulaaaaa  skrg deh masuk phase  tidak frontliner kena vaksinpengurusan vaksin nampaknya mmg gagal,kkmputrajaya tulaaaaa skrg deh masuk phase frontliner kena vaksinpengurusan vaksin nampaknya mmg gagal,kkmputrajaya tulaaaaa skrg deh masuk phase frontliner kena vaksinpengurusan vaksin nampaknya mmg gagal,-10,2,kkmputrajaya tulaaaaa skrg deh masuk phase frontliner kena vaksinpengurusan vaksin nampaknya mmg gagal
"@ yayashee ntahlah dayah . disebabkan tu , ya/m logistik x inform ktrg dlm group vaksin ahad start bertugas 8.kalau jadual post start 11.nasib kawan terdengar perbualan ya/m logistik anak buah semalam.dah ahad kiter bertugas .", yayashee ntahlah dayah  disebabkan tu  yam logistik x inform ktrg dlm group vaksin ahad start bertugas  jadual post start  kawan terdengar perbualan yam logistik anak buah semalamdah ahad kiter bertugas ,yayashee ntahlah dayah disebabkan tu yam logistik x inform ktrg dlm group vaksin ahad start bertugas jadual post start kawan terdengar perbualan yam logistik anak buah semalamdah ahad kiter bertugas,yayashee ntahlah dayah sebab tu yam logistik x inform ktrg dlm group vaksin ahad start tugas jadual post start kawan dengar bual yam logistik anak buah semalamdah ahad kiter tugas,-2,2,yayashee ntahlah dayah sebab tu yam logistik x inform ktrg dlm group vaksin ahad start tugas jadual post start kawan dengar bual yam logistik anak buah semalamdah ahad kiter tugas
@ ambros32 @ blogdokter rugi ? kalo bohongnya bilang aman biar disuntik kayaknya jarang banget deh😂 rangorang ngaku2/mencari alesan biar ga lolos/tunda vaksin . sasaran dateng seneng .,   blogdokter rugi  kalo bohongnya bilang aman biar disuntik kayaknya jarang banget deh😂 rangorang  alesan biar ga lolostunda vaksin  sasaran dateng seneng ,blogdokter rugi kalo bohongnya bilang aman biar disuntik kayaknya jarang banget deh😂 rangorang alesan biar ga lolostunda vaksin sasaran dateng seneng,blogdokter rugi kalo bohong bilang aman biar suntik kayak jarang banget deh rangorang alesan biar ga lolostunda vaksin sasar dateng neng,-3,2,blogdokter rugi kalo bohong bilang aman biar suntik kayak jarang banget deh rangorang alesan biar ga lolostunda vaksin sasar dateng neng
"@ katzen_jammer cmiiw setau az j amp ; j platform vaksinnya viral vector . dna virus dibawa virus sdh dimodifikasi aman . mnrt fda tidak integrasi genom . capture jurnal dr ? utk vaksin mrna , mrna turunan dr dna , ga inti sel", katzenjammer cmiiw setau az j amp  j platform vaksinnya viral vector  dna virus dibawa virus sdh dimodifikasi aman  mnrt fda tidak integrasi genom  capture jurnal dr  utk vaksin mrna  mrna turunan dr dna  ga inti sel,katzenjammer cmiiw setau az j amp j platform vaksinnya viral vector dna virus dibawa virus sdh dimodifikasi aman mnrt fda integrasi genom capture jurnal dr utk vaksin mrna mrna turunan dr dna ga inti sel,katzenjammer cmiiw tau az j amp j platform vaksin viral vector dna virus bawa virus sdh modifikasi aman mnrt fda integrasi genom capture jurnal dr utk vaksin mrna mrna turun dr dna ga inti sel,3,1,katzenjammer cmiiw tau az j amp j platform vaksin viral vector dna virus bawa virus sdh modifikasi aman mnrt fda integrasi genom capture jurnal dr utk vaksin mrna mrna turun dr dna ga inti sel
@ shudgharazali @ khairizulfadhli agama mungkin pusat berjudi ? vaksin frontliners ., shudgharazali  khairizulfadhli agama mungkin pusat berjudi  vaksin frontliners ,shudgharazali khairizulfadhli agama pusat berjudi vaksin frontliners,shudgharazali khairizulfadhli agama pusat judi vaksin frontliners,0,0,shudgharazali khairizulfadhli agama pusat judi vaksin frontliners
"@ sociotalker bukit algoritma , vaksin nusantara , esemka", sociotalker bukit algoritma  vaksin nusantara  esemka,sociotalker bukit algoritma vaksin nusantara esemka,sociotalker bukit algoritma vaksin nusantara esemka,0,0,sociotalker bukit algoritma vaksin nusantara esemka
@ tyaszain @ jwscldh @ blogdokter bohong salah . si calon penerima vaksin . dokter mah s.o.p, tyaszain  jwscldh  blogdokter bohong salah  si calon penerima vaksin  dokter mah sop,tyaszain jwscldh blogdokter bohong salah si calon penerima vaksin dokter mah sop,tyaszain jwscldh blogdokter bohong salah si calon terima vaksin dokter mah sop,-7,2,tyaszain jwscldh blogdokter bohong salah si calon terima vaksin dokter mah sop
"https : //t.co/9fzhoox9vy alur vaksin istora senayan , centra vaksin istora sbtu . parkir dipintu 5 jalan smp elevated park deket sultan hotel lantai 2 antri antri antri turun nyebrang istora , antri . total 5 jam . jd gagal kan rugi",https   alur vaksin istora senayan  centra vaksin istora sbtu  parkir dipintu  jalan smp elevated park deket sultan hotel lantai  antri antri antri turun nyebrang istora  antri  total  jam  jd gagal kan rugi,https alur vaksin istora senayan centra vaksin istora sbtu parkir dipintu jalan smp elevated park deket sultan hotel lantai antri antri antri turun nyebrang istora antri total jam jd gagal rugi,https alur vaksin istora senayan centra vaksin istora sbtu parkir pintu jalan smp elevated park deket sultan hotel lantai antri antri antri turun nyebrang istora antri total jam jd gagal rugi,-9,2,https alur vaksin istora senayan centra vaksin istora sbtu parkir pintu jalan smp elevated park deket sultan hotel lantai antri antri antri turun nyebrang istora antri total jam jd gagal rugi
"update vaksinasi 29 april : 12,3 juta wni terima suntikan dosis vaksin covid-19 https : //t.co/wppnkxzfnk via @ tribunnews",update vaksinasi  april   juta wni terima suntikan dosis vaksin  https  tcowppnkxzfnk via  tribunnews,update vaksinasi april juta wni terima suntikan dosis vaksin https tcowppnkxzfnk via tribunnews,update vaksinasi april juta wni terima sunti dosis vaksin https tcowppnkxzfnk via tribunnews,4,1,update vaksinasi april juta wni terima sunti dosis vaksin https tcowppnkxzfnk via tribunnews
"ihh bokek , beli makanannya gendut sm blacky , beli wood pallet , vaksin , blm mandiin ahhh capek mandiin kucing kek exercise banget sampe keringetan😡😡",ihh bokek  beli makanannya gendut sm blacky  beli wood pallet  vaksin  blm mandiin ahhh capek mandiin kucing kek exercise banget sampe keringetan😡😡,ihh bokek beli makanannya gendut sm blacky beli wood pallet vaksin blm mandiin ahhh capek mandiin kucing kek exercise banget sampe keringetan😡😡,ihh bokek beli makan gendut sm blacky beli wood pallet vaksin blm mandiin ahhh capek mandiin kucing kek exercise banget sampe keringetan,-3,2,ihh bokek beli makan gendut sm blacky beli wood pallet vaksin blm mandiin ahhh capek mandiin kucing kek exercise banget sampe keringetan
"@ blogdokter sisanya kontribusi faskes sejawat dok . pemerintah dalam kemenkes berjuang dapatkan stock vaksin distribusi keseluruh kabupaten , mari support kontribusi tenaga . semoga indonesia sehat .", blogdokter sisanya kontribusi faskes sejawat dok  pemerintah dalam kemenkes berjuang dapatkan stock vaksin distribusi keseluruh kabupaten  mari support kontribusi tenaga  semoga indonesia sehat ,blogdokter sisanya kontribusi faskes sejawat dok pemerintah kemenkes berjuang dapatkan stock vaksin distribusi keseluruh kabupaten mari support kontribusi tenaga semoga indonesia sehat,blogdokter sisa kontribusi faskes jawat dok perintah kemenkes juang dapat stock vaksin distribusi seluruh kabupaten mari support kontribusi tenaga moga indonesia sehat,24,1,blogdokter sisa kontribusi faskes jawat dok perintah kemenkes juang dapat stock vaksin distribusi seluruh kabupaten mari support kontribusi tenaga moga indonesia sehat
@ ohaidaaa masalahnya claim dos so explain . vaksin covid-19 dos setakat . 🧐, ohaidaaa masalahnya claim dos so explain  vaksin  dos setakat  🧐,ohaidaaa claim dos so explain vaksin dos setakat 🧐,ohaidaaa claim dos so explain vaksin dos takat,-3,2,ohaidaaa claim dos so explain vaksin dos takat
"@ birin_jambi @ ariefapriansya1 @ _tiono_tiono_ @ stephanus_sj @ detikcom @ dr_koko28 @ gundidr @ blogdokter ntar kayak enoh , menghina2 vaksin cina , eh giliran ditawarin , barisnya", birinjambi    tionotiono  stephanussj  detikcom    gundidr  blogdokter ntar kayak enoh   vaksin cina  eh giliran ditawarin  barisnya,birinjambi tionotiono stephanussj detikcom gundidr blogdokter ntar kayak enoh vaksin cina eh giliran ditawarin barisnya,birinjambi tionotiono stephanussj detikcom gundidr blogdokter ntar kayak enoh vaksin cina eh gilir ditawarin baris,-3,2,birinjambi tionotiono stephanussj detikcom gundidr blogdokter ntar kayak enoh vaksin cina eh gilir ditawarin baris
mangkok ayun vaksin hegeh2 tidak nk kawal . hati nk pm . jahanam negara https : //t.co/qqwhptosbx,mangkok ayun vaksin  tidak nk kawal  hati nk pm  jahanam negara https  tcoqqwhptosbx,mangkok ayun vaksin nk kawal hati nk pm jahanam negara https tcoqqwhptosbx,mangkok ayun vaksin nk kawal hati nk pm jahanam negara https tcoqqwhptosbx,-1,2,mangkok ayun vaksin nk kawal hati nk pm jahanam negara https tcoqqwhptosbx
"salam subuh . best main game ? kerajaan isle idam-idamkan . harap cindy deh kena vaksin kawan2 frontliner genting tu.bukan , risau je.🇲🇾 betul2 fazura https : //t.co/byjhvnuzxi",salam subuh  best main game  kerajaan isle idamidamkan  harap cindy deh kena vaksin  frontliner genting tubukan  risau je🇲🇾  fazura https  tcobyjhvnuzxi,salam subuh best main game kerajaan isle idamidamkan harap cindy deh kena vaksin frontliner genting tubukan risau je🇲🇾 fazura https tcobyjhvnuzxi,salam subuh best main game raja isle idamidamkan harap cindy deh kena vaksin frontliner genting tubukan risau je fazura https tcobyjhvnuzxi,4,1,salam subuh best main game raja isle idamidamkan harap cindy deh kena vaksin frontliner genting tubukan risau je fazura https tcobyjhvnuzxi
"sadis rakyat malaysia , vaksin kena potong que . sadis lelaki , asyik kena label tidak pandai masak , malas basuh pinggan . sadis bujang , tidak kampung lawat ibu . rentetan sahur 18 ramadan .",sadis rakyat malaysia  vaksin kena potong que  sadis lelaki  asyik kena label tidak pandai masak  malas basuh pinggan  sadis bujang  tidak kampung lawat ibu  rentetan sahur  ramadan ,sadis rakyat malaysia vaksin kena potong que sadis lelaki asyik kena label pandai masak malas basuh pinggan sadis bujang kampung lawat rentetan sahur ramadan,sadis rakyat malaysia vaksin kena potong que sadis lelaki asyik kena label pandai masak malas basuh pinggan sadis bujang kampung lawat rentet sahur ramadan,-17,2,sadis rakyat malaysia vaksin kena potong que sadis lelaki asyik kena label pandai masak malas basuh pinggan sadis bujang kampung lawat rentet sahur ramadan
@ sitiawe_ beksin beksin . eja elok2 . vaksin ., sitiawe beksin beksin  eja   vaksin ,sitiawe beksin beksin eja vaksin,sitiawe beksin beksin eja vaksin,3,1,sitiawe beksin beksin eja vaksin
"xleh ah bukak twitter , emo ngn bnyak bnde , pegawai polis bodoh , org² xpatut kne vaksin , utama ialah , polis² bodoh ni bersepah",xleh ah bukak twitter  emo ngn bnyak bnde  pegawai polis bodoh  org² xpatut kne vaksin  utama ialah  polis² bodoh ni bersepah,xleh ah bukak twitter emo ngn bnyak bnde pegawai polis bodoh org² xpatut kne vaksin utama polis² bodoh ni bersepah,xleh ah bukak twitter emo ngn bnyak bnde pegawai polis bodoh org xpatut kne vaksin utama polis bodoh ni sepah,-7,2,xleh ah bukak twitter emo ngn bnyak bnde pegawai polis bodoh org xpatut kne vaksin utama polis bodoh ni sepah
": h. dadan tri yudianto ( pengusaha millenial ) setahun pandemi corona virus disease ( covid-19 ) meneror dunia , merk vaksin berhasil . merek-merek dunia sepertiastra zenica , moderna , pfizer , sinovac , tidak https : //t.co/x4zdz8jfj3 https : //t.co/ekzwnfqrch", h dadan tri yudianto  pengusaha millenial  setahun pandemi corona virus disease    meneror dunia  merk vaksin berhasil  merekmerek dunia sepertiastra zenica  moderna  pfizer  sinovac  tidak https   https  tcoekzwnfqrch,h dadan tri yudianto pengusaha millenial setahun pandemi corona virus disease meneror dunia merk vaksin berhasil merekmerek dunia sepertiastra zenica moderna pfizer sinovac https https tcoekzwnfqrch,h dad tri yudianto usaha millenial tahun pandemi corona virus disease teror dunia merk vaksin hasil merekmerek dunia sepertiastra zenica moderna pfizer sinovac https https tcoekzwnfqrch,-4,2,h dad tri yudianto usaha millenial tahun pandemi corona virus disease teror dunia merk vaksin hasil merekmerek dunia sepertiastra zenica moderna pfizer sinovac https https tcoekzwnfqrch
"dalam pelaksanan vaksin , pemerintah ngedrop vaksin jarum suntik . sisanya pengadaan faskes pelaksana . vaksinator kerja pagi malam , air minum beli . bukan mengeluh , curahan hati colongan . 🤗",dalam pelaksanan vaksin  pemerintah ngedrop vaksin jarum suntik  sisanya pengadaan faskes pelaksana  vaksinator kerja pagi malam  air minum beli  bukan mengeluh  curahan hati colongan  🤗,pelaksanan vaksin pemerintah ngedrop vaksin jarum suntik sisanya pengadaan faskes pelaksana vaksinator kerja pagi malam air minum beli mengeluh curahan hati colongan 🤗,pelaksanan vaksin perintah ngedrop vaksin jarum suntik sisa ada faskes laksana vaksinator kerja pagi malam air minum beli keluh curah hati colong,-7,2,pelaksanan vaksin perintah ngedrop vaksin jarum suntik sisa ada faskes laksana vaksinator kerja pagi malam air minum beli keluh curah hati colong
@ detikcom klu kena virus sembuhkan vaksin resiko ., detikcom klu kena virus sembuhkan vaksin resiko ,detikcom klu kena virus sembuhkan vaksin resiko,detikcom klu kena virus sembuh vaksin resiko,1,1,detikcom klu kena virus sembuh vaksin resiko
vaksin tu design corona ... mula2 4th wave .,vaksin tu design corona    wave ,vaksin tu design corona wave,vaksin tu design corona wave,0,0,vaksin tu design corona wave
@ bertanyarl kebal vaksin ? vaksin gmn tuh 😔, bertanyarl kebal vaksin  vaksin gmn tuh 😔,bertanyarl kebal vaksin vaksin gmn tuh 😔,bertanyarl kebal vaksin vaksin gmn tuh,0,0,bertanyarl kebal vaksin vaksin gmn tuh
"buntut setop impor , pengembang vaksin sputnik v tuntut brasil https : //t.co/b4tzye89tv",buntut setop impor  pengembang vaksin sputnik v tuntut brasil https  ,buntut setop impor pengembang vaksin sputnik v tuntut brasil https,buntut setop impor kembang vaksin sputnik v tuntut brasil https,1,1,buntut setop impor kembang vaksin sputnik v tuntut brasil https
"membeli vaksin covid-19 hingga 5 , dunia habiskan dana rp 2.300 triliun https : //t.co/zms159cns2 via @ tribunnews",membeli vaksin  hingga   dunia habiskan dana rp  triliun https   via  tribunnews,membeli vaksin dunia habiskan dana rp triliun https via tribunnews,beli vaksin dunia habis dana rp triliun https via tribunnews,10,1,beli vaksin dunia habis dana rp triliun https via tribunnews
"@ jwscldh @ blogdokter ditanya doank org mah bohong om , sertifikat vaksin . `` bapak/ibu keluhan , bapak/ibu penyakit bawaan ga , lain-lain '' biar cepat jawabnya `` aman dok '' '' sehat dok '' '' ga sakit apapun dok '' . deh accord suntik . 😌", jwscldh  blogdokter ditanya doank org mah bohong om  sertifikat vaksin   bapakibu keluhan  bapakibu penyakit bawaan ga  lainlain  biar cepat jawabnya  aman dok   sehat dok   ga sakit apapun dok   deh accord suntik  😌,jwscldh blogdokter doank org mah bohong om sertifikat vaksin bapakibu keluhan bapakibu penyakit bawaan ga lainlain biar cepat aman dok sehat dok ga sakit apapun dok deh accord suntik 😌,jwscldh blogdokter doank org mah bohong om sertifikat vaksin bapakibu keluh bapakibu sakit bawa ga lainlain biar cepat aman dok sehat dok ga sakit apa dok deh accord suntik,3,1,jwscldh blogdokter doank org mah bohong om sertifikat vaksin bapakibu keluh bapakibu sakit bawa ga lainlain biar cepat aman dok sehat dok ga sakit apa dok deh accord suntik
mangkuk sis kenal haritu org lantang mengutuk kkm psl vaksin and covid peduli sis pn kerja bahagian kesihatan gaduh and buka mata mangkuk tu . im pretty sure tgh aktif benda,mangkuk sis kenal haritu org lantang mengutuk kkm psl vaksin and covid peduli sis pn kerja bahagian kesihatan gaduh and buka mata mangkuk tu  im pretty sure tgh aktif benda,mangkuk sis kenal haritu org lantang mengutuk kkm psl vaksin and covid peduli sis pn kerja bahagian kesihatan gaduh and buka mata mangkuk tu im pretty sure tgh aktif benda,mangkuk sis kenal haritu org lantang kutuk kkm psl vaksin and covid peduli sis pn kerja bahagian kesihatan gaduh and buka mata mangkuk tu im pretty sure tgh aktif benda,7,1,mangkuk sis kenal haritu org lantang kutuk kkm psl vaksin and covid peduli sis pn kerja bahagian kesihatan gaduh and buka mata mangkuk tu im pretty sure tgh aktif benda
@ 501awani @ saifuddinabd @ kkmputrajaya dah ambik vaksin sepenuhnya ? # breakthroughcovid19 ?,   saifuddinabd  kkmputrajaya dah ambik vaksin sepenuhnya    ,saifuddinabd kkmputrajaya dah ambik vaksin sepenuhnya,saifuddinabd kkmputrajaya dah ambik vaksin sepenuh,-3,2,saifuddinabd kkmputrajaya dah ambik vaksin sepenuh
"divaksin covid-19 , tidak lakukan vaksin . # khaslokadata # medialawancovid19 https : //t.co/l8fw5yed5n",divaksin   tidak lakukan vaksin   khaslokadata   https  ,divaksin lakukan vaksin khaslokadata https,vaksin laku vaksin khaslokadata https,0,0,vaksin laku vaksin khaslokadata https
@ detikcom lambat vaksin tidak mengikuti protokol kesehatan ., detikcom lambat vaksin tidak mengikuti protokol kesehatan ,detikcom lambat vaksin mengikuti protokol kesehatan,detikcom lambat vaksin ikut protokol sehat,2,1,detikcom lambat vaksin ikut protokol sehat
"@ txtdrsunarto @ heskusuma @ detikcom pakai bpjs mandiri , tidak full cover . hal2 disalahkan korbannya dg alasan tidak fit and bla bla bla . kenpa korbannya disalahkan , tidak dianggep korban . kejadiannya pasca suntik vaksin .", txtdrsunarto  heskusuma  detikcom pakai bpjs mandiri  tidak full cover   disalahkan korbannya dg alasan tidak fit and bla bla bla  kenpa korbannya disalahkan  tidak dianggep korban  kejadiannya pasca suntik vaksin ,txtdrsunarto heskusuma detikcom pakai bpjs mandiri full cover disalahkan korbannya dg alasan fit and bla bla bla kenpa korbannya disalahkan dianggep korban kejadiannya pasca suntik vaksin,txtdrsunarto heskusuma detikcom pakai bpjs mandiri full cover salah korban dg alas fit and bla bla bla kenpa korban salah dianggep korban jadi pasca suntik vaksin,-15,2,txtdrsunarto heskusuma detikcom pakai bpjs mandiri full cover salah korban dg alas fit and bla bla bla kenpa korban salah dianggep korban jadi pasca suntik vaksin
@ bukanmekdi1 sorry lupa ? vaksin mbak nyaa ?,  sorry lupa  vaksin mbak nyaa ,sorry lupa vaksin mbak nyaa,sorry lupa vaksin mbak nyaa,-3,2,sorry lupa vaksin mbak nyaa
sektor pelancongan ialah sektor terpaling msia sepatutnya kerja jaga mesin judi genting je awal2 . vaksin cepat .,sektor pelancongan ialah sektor terpaling msia sepatutnya kerja jaga mesin judi genting je   vaksin cepat ,sektor pelancongan sektor terpaling msia sepatutnya kerja jaga mesin judi genting je vaksin cepat,sektor lancong sektor paling msia patut kerja jaga mesin judi genting je vaksin cepat,9,1,sektor lancong sektor paling msia patut kerja jaga mesin judi genting je vaksin cepat
im done for vaksin today🙌 https : //t.co/hlgyikwnwb,im done for vaksin today🙌 https  tcohlgyikwnwb,im done for vaksin today🙌 https tcohlgyikwnwb,im done for vaksin today https tcohlgyikwnwb,0,0,im done for vaksin today https tcohlgyikwnwb
@ jwscldh @ blogdokter vaksin bawa surat hasil medical cek up 🤭 disediakan ruangan 😁, jwscldh  blogdokter vaksin bawa surat hasil medical cek up 🤭 disediakan ruangan 😁,jwscldh blogdokter vaksin bawa surat hasil medical cek up 🤭 disediakan ruangan 😁,jwscldh blogdokter vaksin bawa surat hasil medical cek up sedia ruang,-1,2,jwscldh blogdokter vaksin bawa surat hasil medical cek up sedia ruang
takutnya 3/5 amik vaksin dos 🙃,takutnya  amik vaksin dos 🙃,takutnya amik vaksin dos 🙃,takut amik vaksin dos,1,1,takut amik vaksin dos
"@ talithaedrea temen-temenmu vaksin , mungkin ga akses cepat . swasta . 😂", talithaedrea tementemenmu vaksin  mungkin ga akses cepat  swasta  😂,talithaedrea tementemenmu vaksin ga akses cepat swasta 😂,talithaedrea tementemenmu vaksin ga akses cepat swasta,1,1,talithaedrea tementemenmu vaksin ga akses cepat swasta
harap @ kkmputrajaya @ khairykj cepatkan pemberian vaksin . suntuk . https : //t.co/j4rrnob1ak,harap  kkmputrajaya  khairykj cepatkan pemberian vaksin  suntuk  https  ,harap kkmputrajaya khairykj cepatkan pemberian vaksin suntuk https,harap kkmputrajaya khairykj cepat beri vaksin suntuk https,13,1,harap kkmputrajaya khairykj cepat beri vaksin suntuk https
"@ trikus2012 @ oposisicerdas sinopak jeblokk efitasnye . 31 % doang , makanye 2-3x vaksin . vaksin dewe , ga perlu beli ratusan t",   oposisicerdas sinopak jeblokk efitasnye    doang  makanye  vaksin  vaksin dewe  ga perlu beli ratusan t,oposisicerdas sinopak jeblokk efitasnye doang makanye vaksin vaksin dewe ga beli ratusan t,oposisicerdas sopak jeblokk efitasnye doang makanye vaksin vaksin dewe ga beli ratus t,-1,2,oposisicerdas sopak jeblokk efitasnye doang makanye vaksin vaksin dewe ga beli ratus t
"selamat pagi mohd redzuan kerajaan malaysia ye 50,000 dos vaksin disedekahkan bosnia tidak rakyat pundek https : //t.co/qw9oi0xopl",selamat pagi mohd redzuan kerajaan malaysia ye  dos vaksin disedekahkan bosnia tidak rakyat pundek https  ,selamat pagi mohd redzuan kerajaan malaysia ye dos vaksin disedekahkan bosnia rakyat pundek https,selamat pagi mohd redzuan raja malaysia ye dos vaksin sedekah bosnia rakyat pundek https,6,1,selamat pagi mohd redzuan raja malaysia ye dos vaksin sedekah bosnia rakyat pundek https
"@ rokandt , vaksin mandatory ?", rokandt  vaksin mandatory ,rokandt vaksin mandatory,rokandt vaksin mandatory,0,0,rokandt vaksin mandatory
kangen pacar efek samping habis vaksin tidak .,kangen pacar efek samping habis vaksin tidak ,kangen pacar efek samping habis vaksin,kangen pacar efek samping habis vaksin,7,1,kangen pacar efek samping habis vaksin
udah tidur 8 jam ngantuk . vaksin /nyalahin vaksin pokoknya/,udah tidur  jam ngantuk  vaksin nyalahin vaksin pokoknya,udah tidur jam ngantuk vaksin nyalahin vaksin pokoknya,udah tidur jam ngantuk vaksin nyalahin vaksin pokok,0,0,udah tidur jam ngantuk vaksin nyalahin vaksin pokok
salam sahur . nak do vaksin astravaganza tu . dah mula buka daftar ? kl selangor je kan ?,salam sahur  nak do vaksin astravaganza tu  dah mula buka daftar  kl selangor je kan ,salam sahur nak do vaksin astravaganza tu dah buka daftar kl selangor je,salam sahur nak do vaksin astravaganza tu dah buka daftar kl selangor je,1,1,salam sahur nak do vaksin astravaganza tu dah buka daftar kl selangor je
"normal vaksin meluas . memandangkan ramai menolak , lambat lagilah covid lenyap😕 https : //t.co/fohg2sogs8",normal vaksin meluas  memandangkan ramai menolak  lambat lagilah covid lenyap😕 https  ,normal vaksin meluas memandangkan ramai menolak lambat lagilah covid lenyap😕 https,normal vaksin luas pandang ramai tolak lambat lagi covid lenyap https,-3,2,normal vaksin luas pandang ramai tolak lambat lagi covid lenyap https
"@ cuilancukong oiya benar : ( ( serba salah dadi dokter opo2 dinyinyiri , tidak dadi sales vaksin koyo @ aderizalh wae sesuk", cuilancukong oiya benar    serba salah dadi dokter  dinyinyiri  tidak dadi sales vaksin koyo  aderizalh wae sesuk,cuilancukong oiya serba salah dadi dokter dinyinyiri dadi sales vaksin koyo aderizalh wae sesuk,cuilancukong oiya serba salah dadi dokter nyinyir dadi sales vaksin koyo aderizalh wae sesuk,-8,2,cuilancukong oiya serba salah dadi dokter nyinyir dadi sales vaksin koyo aderizalh wae sesuk
@ pramuliaa @ ariefapriansya1 @ _tiono_tiono_ @ stephanus_sj @ detikcom @ dr_koko28 @ gundidr @ blogdokter 2 kk vaksin ... .., pramuliaa    tionotiono  stephanussj  detikcom    gundidr  blogdokter  kk vaksin  ,pramuliaa tionotiono stephanussj detikcom gundidr blogdokter kk vaksin,pramuliaa tionotiono stephanussj detikcom gundidr blogdokter kk vaksin,0,0,pramuliaa tionotiono stephanussj detikcom gundidr blogdokter kk vaksin
perrrh patut ls duluan kena vaksin https : //t.co/kjqqkkzt5b,perrrh patut ls duluan kena vaksin https  ,perrrh patut ls duluan kena vaksin https,perrrh patut ls duluan kena vaksin https,1,1,perrrh patut ls duluan kena vaksin https
@ bukanmekdi1 vaksin 2,  vaksin ,vaksin,vaksin,0,0,vaksin
